date,csi,fei,geography,status
2024-01-01,95.1,120.7,Urban,final
2024-03-01,98.5,125.2,Urban,final
2024-05-01,97.1,124.8,Urban,final
2024-07-01,93.9,120.7,Urban,final
2024-09-01,94.7,121.4,Urban,final
2024-11-01,94.0,121.9,Urban,final
2025-01-01,95.5,120.7,Urban,final
2025-03-01,95.1,122.4,Urban,final
2025-05-01,95.4,123.4,Urban,final
2025-07-01,95.1,123.3,Urban,final
2025-09-01,95.4,124.8,Urban,final
2025-11-01,98.4,124.5,Urban,final
2026-01-01,98.1,123.4,Urban,final
2026-03-01,95.7,120.2,Urban,final
