date,gross_gst_crore,net_gst_crore,status
2024-01-01,172129,,final
2024-02-01,168337,,final
2024-03-01,178484,,final
2024-04-01,210267,,final
2024-05-01,172739,,final
2024-06-01,173813,,final
2024-07-01,182075,,final
2024-08-01,174962,,final
2024-09-01,173240,,final
2024-10-01,187346,,final
2024-11-01,182269,,final
2024-12-01,176857,,final
2025-01-01,195506,,final
2025-02-01,183646,,final
2025-03-01,196141,,final
2025-04-01,236716,209000,final
2025-05-01,201050,173000,final
2025-06-01,184000,159000,final
2025-07-01,195735,168000,final
2025-08-01,186315,156000,final
2025-09-01,189017,160000,final
2025-10-01,195936,172000,final
2025-11-01,197000,174000,final
2025-12-01,201000,177000,final
2026-01-01,205000,180000,final
2026-02-01,190000,165000,final
2026-03-01,204000,178000,final
2026-04-01,242000,210000,final
2026-05-01,195000,168000,final
2026-06-01,194812,162377,final
