date,cpi_inflation_yoy,food_inflation_yoy,status
2024-01-01,5.10,8.30,final
2024-02-01,5.09,8.66,final
2024-03-01,4.85,8.52,final
2024-04-01,4.83,8.70,final
2024-05-01,4.75,8.69,final
2024-06-01,5.08,9.36,final
2024-07-01,3.60,5.42,final
2024-08-01,3.65,5.66,final
2024-09-01,5.49,9.24,final
2024-10-01,6.21,10.87,final
2024-11-01,5.48,9.04,final
2024-12-01,5.22,8.39,final
2025-01-01,4.31,6.02,final
2025-02-01,3.61,3.75,final
2025-03-01,3.34,2.69,final
2025-04-01,3.16,1.78,final
2025-05-01,2.82,0.99,final
2025-06-01,2.10,-1.06,final
2025-07-01,1.61,-1.76,final
2025-08-01,2.07,-0.69,final
2025-09-01,1.44,-2.28,final
2025-10-01,0.25,-5.02,final
2025-11-01,0.71,-3.91,final
2025-12-01,1.33,-2.71,final
2026-01-01,2.75,1.85,final
2026-02-01,3.21,3.47,final
2026-03-01,3.40,3.87,final
2026-04-01,3.16,2.69,final
2026-05-01,3.93,5.01,final
2026-06-01,4.38,5.32,provisional
