date,domestic_sales_units,status
2024-07-01,341510,final
2024-08-01,352921,final
2024-09-01,315689,final
2024-10-01,393238,final
2024-11-01,347522,final
2024-12-01,314934,final
2025-01-01,399386,final
2025-02-01,377689,final
2025-03-01,381358,final
2025-04-01,348847,final
2025-05-01,344656,final
2025-06-01,312849,final
2025-07-01,350020,final
2025-08-01,321840,final
2025-09-01,372458,final
2025-10-01,460739,final
2025-11-01,412405,final
2025-12-01,397842,final
2026-01-01,449210,final
2026-02-01,418714,final
2026-03-01,448903,final
2026-04-01,437312,final
2026-05-01,438854,final
