date,repo_rate,fixed_reverse_repo_rate,sdf_rate,status
2024-01-01,6.50,3.35,6.25,month-end
2024-02-01,6.50,3.35,6.25,month-end
2024-03-01,6.50,3.35,6.25,month-end
2024-04-01,6.50,3.35,6.25,month-end
2024-05-01,6.50,3.35,6.25,month-end
2024-06-01,6.50,3.35,6.25,month-end
2024-07-01,6.50,3.35,6.25,month-end
2024-08-01,6.50,3.35,6.25,month-end
2024-09-01,6.50,3.35,6.25,month-end
2024-10-01,6.50,3.35,6.25,month-end
2024-11-01,6.50,3.35,6.25,month-end
2024-12-01,6.50,3.35,6.25,month-end
2025-01-01,6.50,3.35,6.25,month-end
2025-02-01,6.25,3.35,6.00,month-end
2025-03-01,6.25,3.35,6.00,month-end
2025-04-01,6.00,3.35,5.75,month-end
2025-05-01,6.00,3.35,5.75,month-end
2025-06-01,5.50,3.35,5.25,month-end
2025-07-01,5.50,3.35,5.25,month-end
2025-08-01,5.50,3.35,5.25,month-end
2025-09-01,5.50,3.35,5.25,month-end
2025-10-01,5.50,3.35,5.25,month-end
2025-11-01,5.50,3.35,5.25,month-end
2025-12-01,5.25,3.35,5.00,month-end
2026-01-01,5.25,3.35,5.00,month-end
2026-02-01,5.25,3.35,5.00,month-end
2026-03-01,5.25,3.35,5.00,month-end
2026-04-01,5.25,3.35,5.00,month-end
2026-05-01,5.25,3.35,5.00,month-end
2026-06-01,5.25,3.35,5.00,month-end
2026-07-01,5.25,3.35,5.00,month-end
